Clave de metrópoli,Tipo de metrópoli,Nombre de la metrópoli,Clave de municipio,Municipio,ODS,Nombre del ODS,Clave de indicador,Indicador,Año,Valor,Ponderador
14.1.02,Zona metropolitana,Puerto Vallarta,14067,Puerto Vallarta,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,165.921776101319,NA
14.1.02,Zona metropolitana,Puerto Vallarta,18020,Bahía de Banderas,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,190.951955599901,NA
14.3.03,Zona conurbada,Ocotlán,14066,Poncitlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,88.2515973232472,NA
14.3.03,Zona conurbada,Ocotlán,14063,Ocotlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,99.4219832713434,NA
14.3.03,Zona conurbada,Ocotlán,14047,Jamay,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,44.4887502905143,NA
15.1.01,Zona metropolitana,Toluca,15027,Chapultepec,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,10.988029342561,NA
15.1.01,Zona metropolitana,Toluca,15087,Temoaya,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.4089431516037,NA
15.1.01,Zona metropolitana,Toluca,15076,San Mateo Atenco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,111.456477530248,NA
15.1.01,Zona metropolitana,Toluca,15118,Zinacantepec,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,36.4586749723497,NA
15.1.01,Zona metropolitana,Toluca,15072,Rayón,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,4840.67996401503,NA
15.1.01,Zona metropolitana,Toluca,15055,Mexicaltzingo,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,21.1864313920244,NA
15.1.01,Zona metropolitana,Toluca,15067,Otzolotepec,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.48185188296232,NA
15.1.01,Zona metropolitana,Toluca,15005,Almoloya de Juárez,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,8.25303953065925,NA
15.1.01,Zona metropolitana,Toluca,15073,San Antonio la Isla,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,65.7771553396382,NA
15.1.01,Zona metropolitana,Toluca,15051,Lerma,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,208.838020668129,NA
15.1.01,Zona metropolitana,Toluca,15090,Tenango del Valle,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,33.0099540162356,NA
15.1.01,Zona metropolitana,Toluca,15054,Metepec,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,120.308710445502,NA
15.1.01,Zona metropolitana,Toluca,15115,Xonacatlán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,17.1255625194129,NA
15.1.01,Zona metropolitana,Toluca,15106,Toluca,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,217.268997355537,NA
15.1.01,Zona metropolitana,Toluca,15062,Ocoyoacac,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,95.8126420934094,NA
15.1.01,Zona metropolitana,Toluca,15018,Calimaya,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,12.1043581363472,NA
15.3.02,Zona conurbada,Ozumba,15094,Tepetlixpa,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,16.9510164103354,NA
15.3.02,Zona conurbada,Ozumba,15015,Atlautla,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,51.5717073877423,NA
15.3.02,Zona conurbada,Ozumba,15068,Ozumba,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,26.1692303999175,NA
15.3.03,Zona conurbada,Tianguistenco,15098,Texcalyacac,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,17.5841753893861,NA
15.3.03,Zona conurbada,Tianguistenco,15019,Capulhuac,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,109.131590280543,NA
15.3.03,Zona conurbada,Tianguistenco,15006,Almoloya del Río,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,10.3576671429571,NA
15.3.03,Zona conurbada,Tianguistenco,15043,Xalatlaco,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,15.6120231510042,NA
15.3.03,Zona conurbada,Tianguistenco,15012,Atizapán,8,Trabajo decente y crecimiento económico,68,Producto Interno Bruto per cápita,2010,14.0603467952715,NA
