no,cve_ent,year,valor
36,12,2019,84.86562157201426
36,13,2019,69.91635561319454
36,14,2019,66.9445675474723
36,15,2019,91.46214471787154
36,16,2019,92.71933363788234
36,17,2019,101.2092422052074
36,18,2019,62.29304485663332
36,19,2019,51.39490467082487
36,20,2019,87.93774505230573
36,21,2019,99.54644368182926
36,22,2019,55.906912031192846
36,23,2019,49.36273737829017
36,24,2019,77.63322660077823
36,25,2019,55.178603224752365
36,26,2019,54.03005157505481
36,27,2019,116.94488849288504
36,28,2019,78.34982567793159
36,29,2019,97.11397012806674
36,30,2019,113.05455905302364
36,31,2019,65.28150122526372
36,32,2019,67.50115245870052
36,00,2020,118.3175899196602
36,01,2020,61.33031145908451
36,02,2020,92.55932927961852
36,03,2020,61.34231712014997
36,04,2020,115.9523370944197
36,05,2020,122.67282887546988
36,06,2020,100.25203926336894
36,07,2020,105.1920647529596
36,08,2020,99.90486874273304
36,09,2020,156.71957407764378
36,10,2020,80.83286916322912
36,11,2020,119.92091667203977
36,12,2020,114.86254689294726
36,13,2020,99.93080239194984
36,14,2020,83.59523450743578
36,15,2020,153.9207884902918
36,16,2020,119.18595804331316
36,17,2020,131.3691047427692
36,18,2020,81.98357135444523
36,19,2020,73.26483655270233
36,20,2020,121.87101983733882
36,21,2020,150.03242997206505
36,22,2020,78.31164231704933
36,23,2020,67.06208537272137
36,24,2020,113.6261938498386
36,25,2020,71.20654671626772
36,26,2020,75.74228437930297
36,27,2020,174.96780305591307
36,28,2020,114.04430124714575
36,29,2020,157.2320157669988
36,30,2020,156.15805883671365
36,31,2020,80.14817679824537
36,32,2020,98.4191014414968
36,00,2021,108.11042226290098
36,01,2021,56.429078291102066
36,02,2021,69.17871167181886
36,03,2021,51.212264014849154
36,04,2021,95.57346201061078
36,05,2021,96.01435266096478
36,06,2021,107.57501854165692
36,07,2021,101.1139298179448
36,08,2021,74.76847086275286
36,09,2021,123.33045281882232
36,10,2021,70.47427368186908
36,11,2021,122.09611593916212
36,12,2021,105.91018282915527
36,13,2021,92.37013794088374
36,14,2021,81.89238237549027
36,15,2021,139.0603809485254
36,16,2021,126.64014722996788
36,17,2021,129.71337576446243
36,18,2021,82.45502525036919
36,19,2021,69.1690014817641
36,20,2021,133.25158989874774
36,21,2021,153.9804546765996
36,22,2021,75.48674535588
36,23,2021,57.82994176215062
36,24,2021,108.0811728072066
36,25,2021,55.63586824728933
36,26,2021,58.991841335755176
36,27,2021,132.32296632788
36,28,2021,92.10548839376972
36,29,2021,142.47067472576026
36,30,2021,155.14012450492157
36,31,2021,61.82025947778193
36,32,2021,88.49808777681326
36,00,2022,87.88971426724716
36,01,2022,59.552311474684224
36,02,2022,64.61170543242353
36,03,2022,45.68876998294914
36,04,2022,80.06811607232574
36,05,2022,91.76279257026847
36,06,2022,87.20539929039265
36,07,2022,79.22724694100955
36,08,2022,75.08451176084596
36,09,2022,102.67769574146828
36,10,2022,60.07580590207644
36,11,2022,101.2449035610851
36,12,2022,90.00122501667384
36,13,2022,79.49018456078696
36,14,2022,67.80769534085739
36,15,2022,101.42325124726376
36,16,2022,93.90991258605008
36,17,2022,107.43263274895664
36,18,2022,64.52344547377805
36,19,2022,62.27546953505686
36,20,2022,107.07879161406966
36,21,2022,111.62256393424848
36,22,2022,56.57412007109441
36,23,2022,54.67435378302526
36,24,2022,91.50793303918184
36,25,2022,51.88441767918242
36,26,2022,53.38904059664629
36,27,2022,112.70055120294968
36,28,2022,82.18643288705717
36,29,2022,96.05597052372008
36,30,2022,127.34173483041737
36,31,2022,56.56087565655442
36,32,2022,77.71801672736387
36,00,2023,81.60043085869373
36,01,2023,44.80953960018241
36,02,2023,62.68529438899292
36,03,2023,43.21441494596469
36,04,2023,78.71273115287843
36,05,2023,82.12888687620186
36,06,2023,90.30835550333045
36,07,2023,75.92890565509744
36,08,2023,63.906811052661446
36,09,2023,90.36356560120508
36,10,2023,57.9639339032155
36,11,2023,94.93213138905934
36,12,2023,77.32613065535769
36,13,2023,74.0751985639759
36,14,2023,63.54522362801672
36,15,2023,95.04480259090508
36,16,2023,83.54541196109321
36,17,2023,103.10918001612129
36,18,2023,54.78609468644427
36,19,2023,61.88173687427576
36,20,2023,98.81291227092228
36,21,2023,100.94939920413132
36,22,2023,53.0119257285719
36,23,2023,58.27869396307992
36,24,2023,81.16539727033161
36,25,2023,44.57951588745852
36,26,2023,50.16656207187252
36,27,2023,110.3558068378234
36,28,2023,71.00630889833589
36,29,2023,89.81559139214167
36,30,2023,126.97403113587708
36,31,2023,59.167061521510966
36,32,2023,68.15158290518255
40,00,1990,90.23316
40,01,1990,90.84389
40,02,1990,85.36945
40,03,1990,84.06143
40,04,1990,88.82411
40,05,1990,85.16571
40,06,1990,85.01667
40,07,1990,103.56673
40,08,1990,85.84381
40,09,1990,76.37996
40,10,1990,95.5515
40,11,1990,91.88447
40,12,1990,104.988
40,13,1990,87.45931999999999
40,14,1990,95.2157
40,15,1990,86.31977
40,16,1990,103.47251
40,17,1990,84.26307
40,18,1990,88.97783
40,19,1990,78.98405
40,20,1990,106.26185
40,21,1990,101.22678
40,22,1990,96.68299
40,23,1990,89.05639
40,24,1990,97.11781
40,25,1990,84.68871
40,26,1990,83.71632
40,27,1990,87.61549000000001
40,28,1990,83.67792
40,29,1990,89.81438999999999
40,30,1990,86.49597
40,31,1990,90.97544
40,32,1990,101.75674
40,00,1991,89.79424
40,01,1991,90.94698
40,02,1991,85.9661
40,03,1991,84.73854999999999
40,04,1991,89.19866999999999
40,05,1991,85.84638
40,06,1991,85.7618
40,07,1991,100.39874
40,08,1991,86.51917
40,09,1991,77.78748
40,10,1991,94.64493
40,11,1991,91.36665
40,12,1991,101.66399
40,13,1991,88.24817
40,14,1991,93.76109
40,15,1991,86.64273
40,16,1991,100.54662
40,17,1991,85.17047
40,18,1991,89.33336
40,19,1991,79.34894000000001
40,20,1991,101.67354
40,21,1991,99.20183
40,22,1991,94.05287
40,23,1991,89.66784999999999
40,24,1991,95.85872
40,25,1991,85.5434
40,26,1991,84.69143
40,27,1991,88.39948
40,28,1991,84.34311
40,29,1991,89.77793000000001
40,30,1991,87.03816
40,31,1991,90.75308
40,32,1991,98.30848
40,00,1992,89.32138
40,01,1992,91.20345
40,02,1992,86.55680000000001
40,03,1992,84.94674
40,04,1992,89.73855
40,05,1992,86.56444
40,06,1992,86.58024999999999
40,07,1992,97.75415
40,08,1992,87.10574
40,09,1992,76.56141
40,10,1992,93.76976
40,11,1992,91.17157
40,12,1992,99.12998
40,13,1992,89.11447
40,14,1992,92.65576
40,15,1992,86.89712
40,16,1992,97.97214
40,17,1992,86.22653
40,18,1992,89.92295
40,19,1992,79.87693999999999
40,20,1992,97.77775
40,21,1992,98.04701
40,22,1992,92.29958
40,23,1992,90.32138
40,24,1992,95.26146
40,25,1992,86.49019
40,26,1992,85.72219
40,27,1992,89.10057
40,28,1992,84.9366
40,29,1992,90.27261
40,30,1992,87.62406
40,31,1992,90.65152
40,32,1992,95.80511
40,00,1993,88.59282
40,01,1993,91.20778
40,02,1993,86.61318
40,03,1993,84.26032
40,04,1993,89.68411
40,05,1993,86.78666
40,06,1993,87.04083999999999
40,07,1993,95.47912
40,08,1993,87.3174
40,09,1993,73.87802
40,10,1993,92.6949
40,11,1993,90.94416
40,12,1993,97.01816
40,13,1993,89.58827
40,14,1993,91.60991
40,15,1993,86.76296
40,16,1993,95.56392
40,17,1993,86.9683
40,18,1993,90.00682
40,19,1993,80.21511000000001
40,20,1993,94.8131
40,21,1993,96.81975
40,22,1993,91.06843
40,23,1993,90.53754
40,24,1993,94.55934
40,25,1993,87.04321
40,26,1993,86.4367
